userId,createdAt,age_at_signup,mobile_provider,mobile_plan,danaVerifiedAccount,gps_closest_center,gps_distance_to_center,verify.emergencyContact.passed,verify.applicant.passed,defaultPayment,detail.gender,detail.birthplace,detail.penghasilan_band,detail.pendidikan,detail.pekerjaan,detail.industri,npwp_provided,statistics.statisticCustomerInfo.1-7d,statistics.statisticCustomerInfo.1-14d,statistics.statisticCustomerInfo.1-21d,statistics.statisticCustomerInfo.1-30d,statistics.statisticCustomerInfo.1-60d,statistics.statisticCustomerInfo.1-90d,NO_QUERY_RECORD,blacklist,defaulted
5d93812188e3b00242523d34,2019-10-01 23:38:57.867000+07:00,24,Natrindo Telepon Seluler,Axis,TRUE,Bandung,7.953426845,TRUE,TRUE,dana,m,Bandung,> 20.000.001,s1,wiraswasta,industri15,TRUE,6,10,13,14,15,18,FALSE,FALSE,
5d9365ee88e3b00242523d25,2019-10-01 21:42:54.841000+07:00,48,Telkomsel,KartuHALO,TRUE,Tangerang,182.5902572,TRUE,TRUE,dana,f,Padang,5000001 - 10.000.000 IDR,s2,negeri,industri8,TRUE,0,1,1,2,4,7,FALSE,FALSE,TRUE
5d93074188e3b00242523c80,2019-10-01 14:58:57.970000+07:00,34,,,TRUE,Bandung,166.50398,TRUE,TRUE,dana,m,Tulungagung,5000001 - 10.000.000 IDR,s1,swasta,industri18,TRUE,0,0,3,4,7,13,FALSE,TRUE,
5d92e4b7fd29a5709fd31a46,2019-10-01 12:31:35.707000+07:00,24,Axiata,XL Prabayar/Pascabayar,TRUE,Tangerang,5.312899572,TRUE,TRUE,dana,m,Tangerang,< 5.000.000 IDR,sma,swasta,industri24,TRUE,2,2,2,3,11,13,FALSE,TRUE,TRUE
5d92e178fd29a5709fd31a37,2019-10-01 12:17:44.848000+07:00,33,Axiata,XL Prabayar/Pascabayar,TRUE,Tangerang,56.97868759,FALSE,TRUE,dana,m,Serang,< 5.000.000 IDR,s1,swasta,industri24,TRUE,0,0,0,0,4,5,FALSE,TRUE,
5d9271e9fd29a5709fd319b1,2019-10-01 04:21:45.731000+07:00,21,Telkomsel,"SimPATI, KartuHALO",TRUE,Palembang,464.1699378,TRUE,TRUE,dana,f,Kuala enok,< 5.000.000 IDR,d3,swasta,industri14,FALSE,0,0,0,0,0,0,FALSE,FALSE,FALSE
5d90d468bf391f3dafc8ddb8,2019-09-29 22:57:28.224000+07:00,27,Telkomsel,"SimPATI, KartuHALO",TRUE,Medan,428.6730919,FALSE,FALSE,dana,m,Banda Aceh,< 5.000.000 IDR,s1,product-management,industri18,TRUE,0,0,0,0,0,0,TRUE,FALSE,
5d90763bbf391f3dafc8dd3e,2019-09-29 16:15:39.624000+07:00,37,Indosat,IM3,TRUE,South Tangerang,61.17159588,FALSE,TRUE,dana,m,Sukabumi,5000001 - 10.000.000 IDR,sma,wiraswasta,industri22,TRUE,5,10,11,12,16,31,FALSE,FALSE,
5d901f0667cef369fdde86e7,2019-09-29 10:03:34.848000+07:00,24,Indosat,IM3,TRUE,Balikpapan,932.7048988,FALSE,TRUE,dana,m,Bitung,< 5.000.000 IDR,s1,swasta,industri13,TRUE,0,0,0,0,0,0,TRUE,FALSE,FALSE
5d8efd0867cef369fdde856c,2019-09-28 13:26:16.878000+07:00,25,Telkomsel,"SimPATI, KartuHALO",TRUE,Medan,12.84313904,TRUE,TRUE,dana,m,Medan,< 5.000.000 IDR,s1,swasta,industri20,TRUE,0,0,0,0,2,3,FALSE,FALSE,
5d8df24c67cef369fdde8430,2019-09-27 18:28:12.570000+07:00,30,Telkomsel,"SimPATI, KartuHALO",TRUE,Medan,8.025447452,TRUE,TRUE,dana,m,Dolok merangir,5000001 - 10.000.000 IDR,s1,bumn,industri13,TRUE,0,0,0,0,0,6,FALSE,FALSE,TRUE
5d8dc5ff67cef369fdde83ba,2019-09-27 15:19:11.062000+07:00,25,Telkomsel,"SimPATI, KartuHALO",TRUE,Bekasi,4.241451012,FALSE,FALSE,dana,m,Jakarta,5000001 - 10.000.000 IDR,sma,art-creative,industri7,TRUE,0,0,0,0,2,3,FALSE,FALSE,TRUE
5d8db0b667cef369fdde836d,2019-09-27 13:48:22.610000+07:00,22,Telkomsel,"SimPATI, KartuHALO",TRUE,Palembang,535.4610052,TRUE,TRUE,dana,m,Painan,< 5.000.000 IDR,sma,wiraswasta,industri20,TRUE,0,0,0,0,0,0,TRUE,FALSE,FALSE
5d8d9e9667cef369fdde8339,2019-09-27 12:31:02.627000+07:00,31,Natrindo Telepon Seluler,Axis,TRUE,East Jakarta,7.270786844,FALSE,FALSE,dana,m,Bekasi,5000001 - 10.000.000 IDR,sma,sales,industri18,TRUE,7,11,13,21,22,28,FALSE,TRUE,
5d8d902b67cef369fdde831c,2019-09-27 11:29:31.790000+07:00,25,Telkomsel,Kartu As,TRUE,Balikpapan,92.82006431,TRUE,TRUE,dana,m,Samarinda,< 5.000.000 IDR,s1,swasta,industri22,TRUE,0,0,0,0,0,0,TRUE,FALSE,FALSE
5d8d28d867cef369fdde8299,2019-09-27 04:08:40.460000+07:00,28,,,TRUE,Greater Jakarta,2.561445831,FALSE,TRUE,dana,m,bandar lampung,> 20.000.001,s2,bumn,industri13,TRUE,0,3,4,5,5,6,FALSE,TRUE,TRUE
5d8ced4e67cef369fdde825e,2019-09-26 23:54:38.984000+07:00,29,Telkomsel,Kartu As,TRUE,Surabaya,111.8842853,TRUE,TRUE,dana,m,BLITAR,5000001 - 10.000.000 IDR,s2,wiraswasta,industri19,TRUE,0,0,0,0,0,0,TRUE,FALSE,FALSE
5d8cd4e667cef369fdde822e,2019-09-26 22:10:30.802000+07:00,26,Telkomsel,"SimPATI, KartuHALO",TRUE,Bekasi,42.61014924,FALSE,TRUE,dana,m,Tangerang,< 5.000.000 IDR,s1,swasta,industri22,TRUE,0,0,0,0,0,1,FALSE,FALSE,TRUE
5d8cd35f67cef369fdde8226,2019-09-26 22:03:59.412000+07:00,26,,,TRUE,Bandung,11.59510109,FALSE,TRUE,dana,m,Bandung,5000001 - 10.000.000 IDR,sma,freelancer,industri2,TRUE,0,0,0,0,0,0,FALSE,FALSE,FALSE
5d8cbecc67cef369fdde8203,2019-09-26 20:36:12.561000+07:00,25,Axiata,XL Prabayar,TRUE,Bekasi,18.43017018,FALSE,FALSE,dana,m,Tasikmalaya,5000001 - 10.000.000 IDR,sma,swasta,industri18,TRUE,4,4,6,6,7,24,FALSE,TRUE,TRUE
